                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.1259,                0.86463,                0.99875,                0.48709,                0.53301,                0.53622,                0.24378,                 1.5804,                 1.1306,                 1.2045,             0.00077116,             0.00077116,             0.00077116
                     96,                 1.0865,                0.83102,                0.99472,                0.66617,                0.62987,                0.60368,                0.26604,                 1.5361,                  1.135,                 1.1812,             0.00076409,             0.00076409,             0.00076409
                     97,                 1.1038,                0.89212,                 1.0348,                0.65127,                0.64525,                 0.6519,                0.27966,                 1.5311,                 1.1195,                 1.1801,             0.00075701,             0.00075701,             0.00075701
                     98,                 1.1823,                0.92165,                 1.0561,                0.60365,                0.66357,                0.62261,                0.28889,                  1.534,                 1.1378,                 1.1675,             0.00074994,             0.00074994,             0.00074994
                     99,                 1.0984,                 0.8905,                0.99423,                 0.7219,                0.58225,                0.63774,                0.29917,                 1.5406,                 1.1398,                 1.1724,             0.00074287,             0.00074287,             0.00074287
                    100,                 1.1509,                 0.8414,                 1.0249,                0.82366,                0.45731,                0.56282,                0.28778,                 1.5426,                 1.0927,                 1.1617,             0.00073579,             0.00073579,             0.00073579
                    101,                 1.0947,                0.83766,                 1.0121,                0.77813,                0.50433,                0.56645,                0.27387,                 1.5862,                 1.0708,                 1.1802,             0.00072872,             0.00072872,             0.00072872
                    102,                 1.1439,                0.94264,                 1.0622,                0.75307,                0.50077,                0.56031,                0.26052,                 1.7037,                 1.1013,                  1.222,             0.00072164,             0.00072164,             0.00072164
                    103,                 1.1259,                0.83716,                 1.0205,                0.71191,                0.49328,                0.56547,                0.26638,                 1.7284,                 1.1148,                 1.2262,             0.00071457,             0.00071457,             0.00071457
                    104,                 1.0812,                 0.7724,                0.99492,                0.78136,                0.50077,                 0.5895,                0.26495,                 1.6392,                 1.0967,                 1.2057,              0.0007075,              0.0007075,              0.0007075
                    105,                 1.1489,                0.88053,                 1.0065,                0.71959,                0.52559,                0.55419,                0.24936,                 1.6009,                 1.0961,                  1.197,             0.00070042,             0.00070042,             0.00070042
                    106,                 1.0977,                0.82076,                 1.0015,                0.78357,                0.53301,                0.55897,                0.25749,                 1.6063,                 1.0531,                 1.1844,             0.00069335,             0.00069335,             0.00069335
                    107,                 1.0688,                0.76066,                0.98848,                0.80519,                0.53975,                0.59705,                0.27674,                 1.5701,                0.98418,                 1.1679,             0.00068628,             0.00068628,             0.00068628
                    108,                 1.0858,                0.79722,                0.99992,                 0.7899,                0.53187,                0.61542,                0.30497,                 1.6063,                0.95611,                 1.1842,              0.0006792,              0.0006792,              0.0006792
                    109,                 1.1523,                0.84066,                 1.0172,                0.87635,                 0.6102,                0.69834,                 0.3316,                 1.5996,                0.95042,                 1.1801,             0.00067213,             0.00067213,             0.00067213
                    110,                 1.0823,                 0.7702,                0.99718,                0.83299,                0.57628,                0.65393,                0.31955,                 1.5079,                0.92783,                 1.1417,             0.00066506,             0.00066506,             0.00066506
                    111,                 1.0576,                0.76051,                 0.9575,                0.74061,                0.58225,                 0.6208,                0.32067,                 1.4929,                0.91032,                 1.1413,             0.00065798,             0.00065798,             0.00065798
                    112,                 1.0704,                0.78547,                 1.0147,                0.65937,                0.53463,                0.54908,                0.28558,                 1.4802,                0.90094,                 1.1468,             0.00065091,             0.00065091,             0.00065091
                    113,                 1.0412,                0.81058,                 0.9785,                 0.7653,                0.48273,                0.55089,                0.28297,                  1.502,                0.92034,                 1.1613,             0.00064384,             0.00064384,             0.00064384
                    114,                  1.118,                0.78683,                0.98444,                0.68888,                0.58113,                0.58122,                0.27624,                 1.5701,                0.96164,                 1.2054,             0.00063676,             0.00063676,             0.00063676
                    115,                 1.0765,                 0.7703,                0.97891,                0.76723,                0.52353,                0.56473,                0.27206,                 1.5722,                0.98285,                 1.2175,             0.00062969,             0.00062969,             0.00062969
                    116,                 1.0375,                0.78995,                0.98704,                0.68646,                0.47142,                0.51848,                 0.2662,                 1.5463,                 1.0101,                 1.2145,             0.00062262,             0.00062262,             0.00062262
                    117,                 1.1699,                0.88583,                 1.0387,                0.66033,                0.47229,                 0.5151,                0.26275,                 1.5676,                 1.0141,                 1.2248,             0.00061554,             0.00061554,             0.00061554
                    118,                 1.0783,                0.75647,                0.99633,                0.61309,                0.48536,                0.51309,                0.26363,                 1.5781,                0.97994,                 1.2225,             0.00060847,             0.00060847,             0.00060847
                    119,                 1.0595,                 0.7408,                0.97773,                0.61995,                0.47282,                0.51385,                0.26922,                 1.5847,                0.99552,                 1.2158,             0.00060139,             0.00060139,             0.00060139
                    120,                 1.1313,                0.75569,                 1.0104,                0.58966,                0.54058,                0.54893,                0.28244,                 1.5719,                 1.0084,                 1.1942,             0.00059432,             0.00059432,             0.00059432
