                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                 0.9761,                0.58504,                0.92476,                0.78425,                0.70965,                0.71357,                0.43981,                 1.5111,                0.95471,                 1.0628,             0.00059432,             0.00059432,             0.00059432
                    121,                 1.0601,                0.65127,                0.96582,                0.75073,                0.74308,                0.72694,                0.45312,                 1.5091,                0.92328,                 1.0533,             0.00058725,             0.00058725,             0.00058725
                    122,                 1.0059,                0.59372,                0.90608,                0.86681,                0.64388,                0.71822,                0.44869,                   1.52,                0.93137,                 1.0527,             0.00058017,             0.00058017,             0.00058017
                    123,                0.96559,                0.57661,                0.88258,                0.83446,                0.63632,                  0.703,                  0.444,                 1.5135,                0.92992,                 1.0573,              0.0005731,              0.0005731,              0.0005731
                    124,                0.98382,                0.58535,                0.90727,                0.79397,                0.73519,                 0.7275,                0.44724,                 1.5434,                0.94412,                 1.0604,             0.00056603,             0.00056603,             0.00056603
                    125,                0.97006,                0.58276,                 0.9065,                 0.7759,                0.71794,                0.73023,                0.44448,                 1.5639,                0.95626,                 1.0765,             0.00055895,             0.00055895,             0.00055895
                    126,                 1.0881,                0.66903,                0.92589,                0.79854,                0.70239,                0.74413,                0.44002,                 1.5509,                0.92177,                 1.0697,             0.00055188,             0.00055188,             0.00055188
                    127,                 1.0033,                0.58358,                0.90787,                0.85757,                0.67658,                0.71881,                0.43444,                 1.5017,                0.93179,                 1.0817,             0.00054481,             0.00054481,             0.00054481
                    128,                 1.0233,                0.56743,                0.91662,                0.87101,                0.66579,                0.72713,                 0.4433,                 1.5583,                  0.889,                  1.089,             0.00053773,             0.00053773,             0.00053773
                    129,                 0.9848,                0.56994,                0.93665,                0.68502,                0.76514,                 0.7162,                0.43404,                 1.5297,                0.89915,                 1.0707,             0.00053066,             0.00053066,             0.00053066
                    130,                0.99253,                0.58204,                0.91082,                0.81565,                0.63878,                 0.7075,                0.43805,                 1.5778,                 0.9146,                 1.0756,             0.00052359,             0.00052359,             0.00052359
                    131,                0.97968,                0.57514,                0.92906,                0.86269,                 0.6596,                0.71539,                0.44382,                  1.566,                 0.9218,                 1.0799,             0.00051651,             0.00051651,             0.00051651
                    132,                0.91818,                0.55705,                0.90153,                0.73138,                0.71927,                0.72261,                0.45297,                 1.5695,                 1.0014,                  1.106,             0.00050944,             0.00050944,             0.00050944
                    133,                 1.0231,                0.58372,                0.89033,                0.81981,                 0.6973,                0.74157,                0.46259,                 1.5966,                0.97933,                 1.0963,             0.00050236,             0.00050236,             0.00050236
                    134,                  1.025,                0.58396,                0.88005,                0.84629,                0.68386,                0.75373,                0.46773,                  1.592,                0.98327,                 1.0745,             0.00049529,             0.00049529,             0.00049529
                    135,                0.96921,                0.57806,                0.92338,                0.88254,                0.68838,                0.73586,                 0.4514,                 1.6076,                0.95322,                   1.08,             0.00048822,             0.00048822,             0.00048822
                    136,                 1.0279,                0.56776,                0.91925,                0.91577,                0.69588,                0.73457,                0.44459,                 1.5712,                0.91163,                 1.0779,             0.00048114,             0.00048114,             0.00048114
                    137,                 1.0081,                0.56507,                0.91568,                0.78517,                0.72592,                0.71873,                0.42822,                 1.5834,                0.89328,                 1.0723,             0.00047407,             0.00047407,             0.00047407
                    138,                0.97162,                0.56616,                0.88247,                0.83412,                0.74553,                0.73831,                0.44102,                 1.5732,                 0.8676,                 1.0742,               0.000467,               0.000467,               0.000467
                    139,                0.97616,                0.57438,                0.92121,                 0.8936,                0.68178,                0.73327,                0.44137,                 1.5865,                0.84745,                 1.0707,             0.00045992,             0.00045992,             0.00045992
                    140,                0.97212,                0.57031,                0.89863,                0.77413,                0.72168,                0.74091,                0.44711,                 1.5582,                0.83634,                 1.0683,             0.00045285,             0.00045285,             0.00045285
                    141,                0.97898,                0.57399,                0.92348,                0.83163,                 0.7073,                0.73797,                0.44652,                 1.5642,                0.86759,                 1.0739,             0.00044578,             0.00044578,             0.00044578
                    142,                0.92037,                0.54378,                0.89687,                0.72176,                0.72742,                0.72027,                0.43975,                 1.5768,                 0.8894,                 1.0714,              0.0004387,              0.0004387,              0.0004387
                    143,                0.95345,                0.55317,                0.89706,                0.80029,                0.66889,                0.73245,                0.45054,                 1.5528,                0.91495,                 1.0697,             0.00043163,             0.00043163,             0.00043163
                    144,                 0.9308,                0.53489,                 0.8865,                0.84163,                0.73935,                0.75678,                0.46624,                 1.5414,                0.85174,                 1.0543,             0.00042456,             0.00042456,             0.00042456
                    145,                0.94449,                0.55067,                0.89937,                0.80671,                0.78711,                0.76503,                0.46906,                 1.5195,                0.82892,                 1.0524,             0.00041748,             0.00041748,             0.00041748
                    146,                 0.9181,                0.54014,                0.88125,                0.79134,                0.79092,                0.76083,                0.46738,                 1.5452,                0.84399,                 1.0623,             0.00041041,             0.00041041,             0.00041041
                    147,                0.97432,                0.55857,                0.90675,                0.77283,                0.77368,                0.74786,                0.44982,                 1.5531,                 0.8501,                 1.0756,             0.00040334,             0.00040334,             0.00040334
                    148,                0.92943,                0.54727,                0.89915,                 0.8378,                0.76705,                0.76033,                 0.4584,                 1.5603,                  0.849,                 1.0846,             0.00039626,             0.00039626,             0.00039626
                    149,                0.92066,                0.53762,                0.88877,                 0.8578,                0.73318,                0.76196,                0.46001,                 1.5788,                0.86989,                 1.0965,             0.00038919,             0.00038919,             0.00038919
                    150,                0.96447,                0.53406,                0.91066,                0.87074,                0.71964,                0.77022,                 0.4625,                 1.5911,                0.87783,                 1.1001,             0.00038211,             0.00038211,             0.00038211
                    151,                0.92595,                0.55215,                0.86258,                0.84541,                0.75817,                0.77253,                0.47046,                 1.5479,                0.87389,                 1.0688,             0.00037504,             0.00037504,             0.00037504
